Title,Year,Link,Author,The_Six_Canons,Digitalization,Interpretation,Creation,Exhibition,Task,Feature_Extraction,Rendering,picture
Reconstructing Traditional Chinese Paintings with Immersive Virtual Reality,2020,https://dl.acm.org/doi/abs/10.1145/3334480.3382934,"Jin, Sheng and Fan, Min and Wang, Yongchao and Liu, Qi",Spirit Resonance,None,None,None,XR,Others,None,None,11.png
"ShadowPlay2.5D: A 360-Degree Video Authoring Tool for Immersive
Appreciation of Classical Chinese Poetry",2020,https://dl.acm.org/doi/abs/10.1145/3352590?casa_token=WKb1ISrkg7oAAAAA:GpmoRll1znKaofx-mFHxm-jnNuenbCdhUSTJAItsZBtg4__6jJ7IX0ToWSxbCKgzH5ddLpxzBhI3,"Zhao, Zhenjie and Ma, Xiaojuan",Spirit Resonance,None,None,None,XR,Video Generation,Handcrafted Features,Morphology/Graphical Methods,12.png
Automatic traditional Chinese painting classification: A benchmarking analysis,2020,https://onlinelibrary.wiley.com/doi/abs/10.1111/coin.12328,"Liong, Sze-Teng and Huang, Yen-Chang and Li, Shumeng and Huang, Zhongkai and Ma, Jingyang and Gan, Yee Siang","Correspondence to the Object,Suitability to Type",None,Classification,None,None,Image Classification,Learned Features,None,13.png
Multi-Instance Learning Algorithm Based on LSTM for Chinese Painting Image Classification,2020,https://ieeexplore.ieee.org/abstract/document/9210099,"Li, Daxiang and Zhang, Yue",Correspondence to the Object,None,Classification,None,None,Image Classification,Learned Features,None,14.png
Detail-Preserving CycleGAN-AdaIN Framework for Image-to-Ink Painting Translation,2020,https://ieeexplore.ieee.org/abstract/document/9142197,"Zhang, Fengquan and Gao, Huaming and Lai, Yuping",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Learned Features,Image-Based,15.png
DCT-CNN-based classification method for the gongbi and xieyi techniques of Chinese inkwash paintings,2019,https://www.sciencedirect.com/?fr=RR-11&ref=pdf_download&rr=780053946ebacf05,"Jiang, Wei and Wang, Zheng and Jin, Jesse S and Han, Yahong and Sun, Meijun",Bone Method,None,None,None,None,Image Classification,Learned Features,None,16.png
Deep learning does not generalize well to recognizing cats and dogs in Chinese paintings,2019,https://link.springer.com/content/pdf/10.1007/978-3-030-33778-0_14.pdf,"Gu, Qianqian and King, Ross",Correspondence to the Object,None,Classification,None,None,Object Detection,Learned Features,None,17.png
Easy Drawing: Generation of Artistic Chinese Flower Painting by Stroke-Based Stylization,2019,https://ieeexplore.ieee.org/abstract/document/8666126,"Yang, Lijie and Xu, Tianchen and Du, Jixiang and Wu, Enhua",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,"Morphology/Graphical Methods,Reinforcement Learning",18.png
Evaluation and analysis of white space in Wu Guanzhong¡¯s Chinese paintings,2019,http://www.laputaproject.com/images/uploaded/20161206/6361661889526038396629208.pdf,"Fan, ZhenBao and Zhang, Kang and Zheng, XianJun Sam",Division and Planning,None,Feature Extraction,None,None,Others,None,None,19.png
Feature analysis and classification for aesthetic of Chinese traditional painting,2019,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDLAST2020&filename=BJHK201912020&uniplatform=NZKPT&v=V-c0t53EkRsL3JF0b7p1qxl_QkimALemj_UDtZ68NxPE4FnguNTIri-7soOTgaDc,"Zhan, Ying and Gao, Yan and Xie, Linyun",Suitability to Type,None,Feature Extraction,None,None,Image Classification,Handcrafted Features,None,20.png
High Relief from Brush Painting,2019,https://ieeexplore.ieee.org/abstract/document/8419282,"Fu, Yunfei and Yu, Hongchuan and Yeh, Chih-Kuo and Zhang, Jianjun and Lee, Tong-Yee",Transmission by Copying,None,None,Model,None,Image Segmentation,Handcrafted Features,Morphology/Graphical Methods,21.png
Walking Through Shanshui: Generating Chinese Shanshui Paintings via Real-time Tracking of Human Position,2019,https://ieeexplore.ieee.org/document/9022422,"Le Zhou, Aven",Correspondence to the Object,None,None,None,Others,Image Generation,Learned Features,Image-Based,22.png
  The Elements Extraction on Traditional Chinese Paintings Based on Object Detection,2019,https://dl.acm.org/doi/abs/10.1145/3375959.3375980,"Meng, Qingyu and Li, Kaiyue and Zhou, Mingquan and Zhang, Huanhuan",Correspondence to the Object,None,Classification,None,None,Object Detection,Learned Features,None,23.png
A study on a content-based image retrieval technique for Chinese paintings,2018,https://www.emerald.com/insight/content/doi/10.1108/EL-10-2016-0219/full/html?skipTracking=true,"Hung, Chia-Ching",Suitability to Type,None,Feature Extraction,None,None,Others,Handcrafted Features,None,24.png
Animated Construction of Chinese Brush Paintings,2018,https://ieeexplore.ieee.org/abstract/document/8113507,"Tang, Fan and Dong, Weiming and Meng, Yiping and Mei, Xing and Huang, Feiyue and Zhang, Xiaopeng and Deussen, Oliver",Bone Method,None,None,Model,None,Video Generation,Handcrafted Features,Morphology/Graphical Methods,25.png
ChipGAN: A Generative Adversarial Network for Chinese Ink Wash Painting Style Transfer,2018,https://dl.acm.org/doi/10.1145/3240508.3240655,"He, Bin and Gao, Feng and Ma, Daiqian and Shi, Boxin and Duan, Ling-Yu",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Learned Features,"Morphology/Graphical Methods,Diffusion Model,Image-Based",26.png
Research on the synthetic method of ink painting based on convolutional neural network,2018,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10806/108062B/Research-on-the-synthetic-method-of-ink-painting-based-on/10.1117/12.2503115.short?SSO=1,"Wu, Bing and Dong, Qingshuang",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Learned Features,Image-Based,27.png
The classification of traditional Chinese painting based on CNN,2018,https://link.springer.com/chapter/10.1007/978-3-030-00009-7_22,"Meng, Qingyu and Zhang, Huanhuan and Zhou, Mingquan and Zhao, Shifeng and Zhou, Pengbo",Suitability to Type,None,Classification,None,None,Image Classification,Learned Features,None,28.png
A Generative Approach to Chinese Shanshui Painting,2017,https://ieeexplore.ieee.org/abstract/document/7819408,"Shi, Weili",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Handcrafted Features,Geometric-Based,29.png
Chinese painting emotion classification based on convolution neural network and SVM ,2017,http://njsfdxzrb.paperonce.org/en/oa/darticle.aspx?type=view&id=201703011,"Zheng, Wang and Haoyue, Li and Hongshan, Xu and Meijun, Sun",Spirit Resonance,None,Classification,None,None,Image Classification,Learned Features,None,30.png
Visual complexity of Chinese ink paintings,2017,https://dl.acm.org/doi/abs/10.1145/3119881.3119883,"Fan, Zhen Bao and Li, Yi-Na and Yu, Jinhui and Zhang, Kang",Division and Planning,None,Feature Extraction,None,None,Others,None,None,31.png
Data-Driven NPR Illustrations of Natural Flows in Chinese Painting,2016,https://ieeexplore.ieee.org/abstract/document/7726076,"Lai, Yu-Chi and Chen, Bo-An and Chen, Kuo-Wei and Si, Wei-Lin and Yao, Chih-Yuan and Zhang, Eugene",Correspondence to the Object,None,None,Video Generation,None,Video Generation,Handcrafted Features,Morphology/Graphical Methods,32.png
Monte Carlo Convex Hull Model for classification of traditional Chinese paintings,2016,https://linkinghub.elsevier.com/retrieve/pii/S0925231215011601,"Sun, Meijun and Zhang, Dong and Wang, Zheng and Ren, Jinchang and Jin, Jesse S",Bone Method,None,Feature Extraction,None,None,Image Classification,Handcrafted Features,None,33.png
"Tunable, a VR reconstruction of ¡±Listening to a Guqin¡± from Emperor Zhao Ji",2016,https://dl.acm.org/doi/abs/10.1145/2996376.2996379,"Yuan, Chen and Yun, Ze",Transmission by Copying,None,None,None,XR,Virtual Reality,None,Geometric-Based,34.png
A Novel Method of Converting Photograph into Chinese Ink Painting,2015,https://onlinelibrary.wiley.com/doi/epdf/10.1002/tee.22088,"Guo, Fan and Peng, Hui and Tang, Jin",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Handcrafted Features,Image-Based,35.png
Brushstroke based sparse hybrid convolutional neural networks for author classification of Chinese ink-wash paintings,2015,https://ieeexplore.ieee.org/abstract/document/7350874,"Sun, Meijun and Zhang, Dong and Ren, Jinchang and Wang, Zheng and Jin, Jesse S",Bone Method,None,Classification,None,None,Image Classification,Learned Features,None,36.png
SIGCHI: Enabling Context for Traditional Chinese Paintings with ¡°Rice Paper¡±,2015,https://dl.acm.org/doi/abs/10.1145/2702613.2726958?casa_token=oX4EejoAhx8AAAAA:_HzQmkeq7HnE_EgmKeuf3Pbiw8rwMo5su_mTlm_Uq3OB5LDAOpyHryOz8JABUILhBE9BFQB9G-JkdA,"Subramonyam, Hariharan and Shen, Yuncheng and Jones, Samantha Lauren",Transmission by Copying,None,None,None,Interactive,Others,None,None,37.png
Object Extraction in Chinese Painting Base on Visual Saliency,2015,https://ieeexplore.ieee.org/abstract/document/7469181,"Hu, Zhengkun and Wang, Tingmei",Suitability to Type,None,Feature Extraction,None,None,Image Segmentation,Handcrafted Features,None,38.png
Animated construction of ink-wash paintings,2014,https://dl.acm.org/doi/abs/10.1145/2668975.2669014,"Tang, Fan and Meng, Yiping and Dong, Weiming and Mei, Xing and Huang, Feiyue and Zhang, Xiaopeng",Bone Method,None,None,Image Generation,None,Video Generation,Handcrafted Features,Morphology/Graphical Methods,39.png
Automatic categorization of traditional chinese paintings based on wavelet transform ,2014,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFD2014&filename=JSJA201402070&uniplatform=NZKPT&v=z2uxEcXrDTlGuGtoSzPHdffgxIhjhCAihg002GoTDxuwGVs3Cudr5FegHJv_CaSZ,"Sheng, Jiachuan",Bone Method,None,Feature Extraction,None,None,Image Classification,Learned Features,None,40.png
Classification of traditional Chinese paintings based on supervised learning methods,2014,https://ieeexplore.ieee.org/document/6986272,"Liu, Chi and Jiang, He",Suitability to Type,None,Feature Extraction,None,None,Image Classification,Handcrafted Features,None,41.png
From Writing to Painting: A Kinect-Based Cross-Modal Chinese Painting Generation System,2014,https://dl.acm.org/doi/10.1145/2647868.2654911,"Li, Jiajia and Ngai, Grace and Chan, Stephen CF and Hua, Kien A and Leong, Hong Va and Chan, Alvin",Correspondence to the Object,None,None,None,Interactive,Image Generation,Handcrafted Features,Image-Based,42.png
Real-time image-based chinese ink painting rendering,2014,https://link.springer.com/article/10.1007/s11042-012-1126-9,"Dong, Lixing and Lu, Shufang and Jin, Xiaogang",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Handcrafted Features,Image-Based,43.png
Recognition of Chinese artists via windowed and entropy balanced fusion in classification of their authored ink and wash paintings (IWPs),2014,https://linkinghub.elsevier.com/retrieve/pii/S0031320313003385,"Sheng, Jiachuan and Jiang, Jianmin",Bone Method,None,Feature Extraction,None,None,Image Generation,Learned Features,None,44.png
Animating chinese ink painting through generating reproducible brush strokes,2013,https://link.springer.com/article/10.1007/s11432-012-4740-2,"Yang, LiJie and Xu, TianChen",Bone Method,None,None,Image Generation,None,None,None,Morphology/Graphical Methods,45.png
Artist agent: A reinforcement learning approach to automatic stroke generation in oriental ink painting,2013,https://search.ieice.org/bin/summary.php?id=e96-d_5_1134,"Xie, Ning and Hachiya, Hirotaka and Sugiyama, Masashi",Bone Method,None,None,Image Generation,None,Image Generation,Learned Features,Reinforcement Learning,46.png
Image Recovery for Ancient Chinese Paintings,2013,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.641.1219,"Guo, Fan and Tang, Jin and Peng, Hui",Suitability to Type,Restoration,None,None,None,Image Generation,Handcrafted Features,Image-Based,47.png
Image-Based Rendering for Ink Painting,2013,https://ieeexplore.ieee.org/abstract/document/6722427,"Liang, Lingyu and Jin, Lianwen",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Handcrafted Features,Diffusion Model,48.png
Viewing Chinese art on an interactive tabletop,2013,https://ieeexplore.ieee.org/abstract/document/6516499,"Hsieh, Chun-ko and Hung, Yi-Ping and Ben-Ezra, Moshe and Hsieh, Hsin-Fang",Transmission by Copying,None,None,None,Interactive,Others,None,None,49.png
Style-based classification of Chinese ink and wash paintings,2013,https://www.spiedigitallibrary.org/journals/optical-engineering/volume-52/issue-9/093101/Style-based-classification-of-Chinese-ink-and-wash-paintings/10.1117/1.OE.52.9.093101.full?SSO=1,"Sheng, Jiachuan and Jiang, Jianmin",Bone Method,None,Feature Extraction,None,None,Image Classification,Handcrafted Features,None,50.png
Annotating Traditional Chinese Paintings for Immersive Virtual Exhibition,2012,https://dl.acm.org/doi/abs/10.1145/2307723.2307725,"Ma, Wei and Wang, Yizhou and Xu, Ying-Qing and Li, Qiong and Ma, Xin and Gao, Wen",Spirit Resonance,None,None,None,Others,Others,None,None,51.png
"Simulating Aging and Reverse-Aging Phenomena of Traditional Chinese
Paintings",2012,https://www.jstage.jst.go.jp/article/pjsai/JSAI2012/0/JSAI2012_4M1IOS3c5/_pdf/-char/ja,"Chen, Lieu-Hen and TSAI, Meng-Feng and HSU, Chien-Hui and CHEN, Yu-Sheng",Suitability to Type,Restoration,None,None,None,"Image Segmentation,Others",Handcrafted Features,Image-Based,52.png
Stroke-based real-time ink wash painting style rendering for geometric models,2012,https://dl.acm.org/doi/abs/10.1145/2407746.2407765?casa_token=PTXONvESPhkAAAAA:2eRaodQ-XBQe0s-Kp0-YTRn4oxKLB5UV8Kp3AM3fJx84xMtOP7zAC9P9gImcXu7Fu-2Zlcl6TRTT,"Xu, Tian-Chen and Yang, Li-Jie and Wu, En-Hua",Bone Method,None,None,Image Generation,None,Image Generation,None,Geometric-Based,53.png
Multispectral Image Matting of Ancient Chinese Paintings,2011,https://diglib.eg.org/xmlui/bitstream/handle/10.2312/EG2011.areas.009-015/009-015.pdf?sequence=1&isAllowed=n,"Zhang, Jiawan and Zhang, Yi and Zhang, Shengping and Yan, Lixia and Chen, Jinyan",Suitability to Type,Restoration,None,None,None,"Image Segmentation,Image Generation",None,Image-Based,54.png
A novel Algorithm for Extraction of the Scripts Part in Traditional Chinese Painting Images,2010,https://ieeexplore.ieee.org/abstract/document/5608756,"Bao, Hong and Liang, Ye and Liu, Hong-Zhe and Xu, De",Division and Planning,None,Feature Extraction,None,None,Image Segmentation,Handcrafted Features,None,55.png
Modeling 2.5D plants from ink paintings,2010,http://web4.cs.ucl.ac.uk/staff/brostow/papers/Amati_SBIM_2010.pdf,"Amati, Cristina and Brostow, Gabriel J",Correspondence to the Object,None,None,Model,None,Video Generation,Handcrafted Features,"Morphology/Graphical Methods,Geometric-Based",56.png
A simple method for classification of traditional Chinese Painting and Calligraphy images,2010,https://ieeexplore.ieee.org/abstract/document/5608356,"Liang, Ye and Bao, Hong and Liu, Hong-Zhe",Division and Planning,None,Feature Extraction,None,None,Image Classification,Handcrafted Features,None,57.png
Chinese hairy brush: A physically-based model for calligraphy,2009,https://scholars.cityu.edu.hk/en/publications/publication(3465ae31-b7bf-4ab1-8e2f-51648e73898b).html,"Bai, Bendu and Zhang, Yanning and Wong, Kam-Wah and Li, Ying",Bone Method,None,None,Image Generation,None,Others,None,Morphology/Graphical Methods,58.png
FluidPaint: an Interactive Digital Painting System using Real Wet Brushes,2009,https://dl.acm.org/doi/abs/10.1145/1731903.1731914,"Vandoren, Peter and Claesen, Luc and Van Laerhoven, Tom and Taelman, Johannes and Raymaekers, Chris and Flerackers, Eddy and Van Reeth, Frank",Bone Method,None,None,None,Interactive,Others,None,"Morphology/Graphical Methods,Diffusion Model",59.png
Video-based running water animation in chinese painting style,2009,https://link.springer.com/article/10.1007/s11432-009-0035-7,"Zhang, SongHai and Chen, Tao and Zhang, YiFei and Hu, ShiMin and Martin, Ralph",Spirit Resonance,None,None,Video Generation,None,Video Generation,None,Morphology/Graphical Methods,60.png
An effective method to detect seal images from traditional Chinese paintings,2009,https://ieeexplore.ieee.org/abstract/document/5371700,"Bao, Hong and Xu, De and Feng, Songhe",Suitability to Type,None,Feature Extraction,None,None,Object Detection,None,None,61.png
Content-based identifying and classifying traditional chinese painting images,2008,https://ieeexplore.ieee.org/document/4566716/;jsessionid=eplTdE11mnXUoGqCgoPHdArek6wXKZJJM4v7csHjaNKSLt_laYLD!-1212808535,"Lu, Guanming and Gao, Zhong and Qin, Danni and Zhao, Xin and Liu, Mengjue",Correspondence to the Object,None,Feature Extraction,None,None,Image Classification,Learned Features,None,62.png
A Generic Pigment Model for Digital Painting,2007,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8659.2007.01084.x?casa_token=DfSSG6h7N20AAAAA%3A2ppaShghVWvS166JpyPeXSRL-xmUKrmWo_t5yEZmvIdZQU98dyLpbHJsM-LO0DY3KNQKooQh8zuufA,"Xu, Songhua and Tan, Haisheng and Jiao, Xiantao and Lau, Francis CM and Pan, Yunhe",Suitability to Type,None,None,Image Generation,None,Image Generation,Handcrafted Features,Diffusion Model,63.png
Image-based color ink diffusion rendering,2007,https://ieeexplore.ieee.org/abstract/document/4069233,"Wang, Chung-Ming and Wang, Ren-Jie",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Handcrafted Features,Diffusion Model,64.png
A Real-Time ProCam System for Interaction with Chinese Ink-and-Wash Cartoons,2007,https://ieeexplore.ieee.org/document/4270478,"Jin, Ming and Zhang, Hui and Yang, Xubo and Xiao, Shuangjiu",Spirit Resonance,None,None,None,XR,Others,None,None,65.png
An effective method to detect and categorize digitized traditional Chinese paintings,2006,https://linkinghub.elsevier.com/retrieve/pii/S0167865505003211,"Jiang, Shuqiang and Huang, Qingming and Ye, Qixiang and Gao, Wen",Suitability to Type,None,Feature Extraction,None,None,Image Classification,Handcrafted Features,None,66.png
Animating chinese paintings through stroke-based decomposition,2006,https://dl.acm.org/doi/abs/10.1145/1138450.1138454?casa_token=_BboceJxNeAAAAAA:A3yRuAjZSdbsccdrdXC1QrszYtmHHbMGddLrVMspcYfRbzzM7R3GfEInzQ1zGhRDnwoMomFpQtfC,"Xu, Songhua and Xu, Yingqing and Kang, Sing Bing and Salesin, David H and Pan, Yunhe and Shum, Heung-Yeung",Bone Method,None,None,Video Generation,None,Video Generation,Handcrafted Features,Morphology/Graphical Methods,67.png
Background Adjustment and Saturation Enhancement in Ancient Chinese Paintings,2006,https://ieeexplore.ieee.org/abstract/document/1703610,"Pei, S and Chiu, Y",Suitability to Type,Restoration,None,None,None,Image Generation,Handcrafted Features,Image-Based,68.png
Computer©\generated Chinese color ink paintings,2006,https://www.tandfonline.com/doi/abs/10.1080/02533839.2006.9671203?casa_token=4zPtNexiPgMAAAAA:TlP8JSES0Yk1AuppNvvsoH9r-wiJkdH4ohzr18WcH53_N9qQxL534yDiFuWJp5fIZyf9l7GtCCE5,"Way, Der-Lor and Lin, Wei-Jin and Shih, Zen-Chung",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,"Morphology/Graphical Methods,Diffusion Model",69.png
Automatic categorization of traditional Chinese painting images with statistical Gabor feature and color feature,2005,https://link.springer.com/chapter/10.1007/11428831_92,"Guan, Xiaohui and Pan, Gang and Wu, Zhaohui",Suitability to Type,None,Feature Extraction,None,None,Image Classification,Handcrafted Features,None,70.png
MoXi: Real-time ink dispersion in absorbent paper,2005,https://dl.acm.org/doi/abs/10.1145/1073204.1073221?casa_token=Q1oPBtWmbAcAAAAA:AACpdTIvOfSTFnoQphjUkH3k0AhJKr8_1P9_L3598sTsvWei5o9EvWTuiBumNOwExurDaxqCMF--eA#sec-supp,"Chu, Nelson S.-H. and Tai, Chiew-Lan",Bone Method,None,None,Image Generation,None,Image Generation,None,Diffusion Model,71.png
Painting brush control techniques in chinese painting robot,2005,https://ieeexplore.ieee.org/abstract/document/1513822,"Yao, Fenghui and Shao, Guifeng",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,Morphology/Graphical Methods,72.png
Virtual hairy brush for digital painting and calligraphy ,2005,https://link.springer.com/article/10.1360/03yf0389,"Xu, Songhua and Lau, CM Francis and Xu, Congfu and Pan, Yunhe",Bone Method,None,None,Image Generation,None,Image Generation,None,"Morphology/Graphical Methods,Diffusion Model",73.png
Categorizing Traditional Chinese Painting Images,2004,https://link.springer.com/chapter/10.1007/978-3-540-30541-5_1,"Jiang, Shuqiang and Huang, Tiejun",Bone Method,None,Feature Extraction,None,None,Image Classification,Handcrafted Features,None,74.png
Real-Time Painting with an Expressive Virtual Chinese Brush,2004,https://ieeexplore.ieee.org/abstract/document/1333630,"Chu, Nelson SH and Tai, Chiew-Lan",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,"Morphology/Graphical Methods,Diffusion Model",75.png
Studying Digital Imagery of Ancient Paintings by Mixtures of Stochastic Models,2004,https://ieeexplore.ieee.org/abstract/document/1278358,"Li, Jia and Wang, James Ze",Bone Method,None,Feature Extraction,None,None,Image Classification,Handcrafted Features,None,76.png
Virtual Restoration of Ancient Chinese Paintings Using Color Contrast Enhancement and Lacuna Texture Synthesis,2004,https://ieeexplore.ieee.org/abstract/document/1278364,"Pei, Soo-Chang and Zeng, Yi-Chong and Chang, Ching-Hua",Suitability to Type,Restoration,None,None,None,Image Generation,Handcrafted Features,Image-Based,77.png
Droplet: A virtual brush model to simulate chinese calligraphy and painting,2003,https://link.springer.com/content/pdf/10.1007/BF02944909.pdf,"Mi, Xiao-Feng and Tang, Min and Dong, Jin-Xiang",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,"Morphology/Graphical Methods,Diffusion Model",78.png
Image-Based Synthesis of Chinese Landscape Painting,2003,https://link.springer.com/article/10.1007/BF02946647,"Yu, JinHui and Luo, GuoMing and Peng, QunSheng",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,"Morphology/Graphical Methods,Image-Based",79.png
Nijimi Rendering Algorithm for Creating Quality Black Ink Paintings,2003,https://ieeexplore.ieee.org/abstract/document/1214460,"Guo, Qinglian and Kunii, Tosiyasu L",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,Diffusion Model,80.png
Physical-based model of ink diffusion in chinese ink paintings,2003,https://otik.uk.zcu.cz/handle/11025/1615,"Way, De-Lor and Huang, Shen-Wen and Shih, Zen-Chung",Bone Method,None,None,Image Generation,None,None,None,"Morphology/Graphical Methods,Diffusion Model",81.png
A Model Based Technique for Realistic Oriental Painting,2002,https://ieeexplore.ieee.org/abstract/document/1167898,"Yu, Young Jung and Lee, Young Bok and Cho, Hwan Gue and Lee, Do Hoon",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,Diffusion Model,82.png
Non-Photorealistic Rendering in Chinese Painting of Animals,2002,https://scholars.lib.ntu.edu.tw/bitstream/123456789/118592/1/25.pdf,"Yeh, Jun-Wei and Ouhyoung, Ming",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,"Diffusion Model,Geometric-Based",83.png
On the Effects of Haptic Display in Brush and Ink Simulation for Chinese Painting and Calligraphy,2002,https://ieeexplore.ieee.org/abstract/document/1167892,"Yeh, Jeng-sheng and Lien, Ting-yu and Ouhyoung, Ming",Bone Method,None,None,Image Generation,None,Image Generation,None,"Morphology/Graphical Methods,Diffusion Model",84.png
The Synthesis of Trees in Chinese Landscape Painting Using Silhouette and Texture Strokes,2002,https://otik.uk.zcu.cz/handle/11025/6018,"Way, De-Lor and Lin, Yu-Ru and Shih, Zen-Chung",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,Geometric-Based,85.png
Two Methods for Creating Chinese Painting,2002,https://ieeexplore.ieee.org/abstract/document/1167884,"Chan, Ching and Akleman, Ergun and Chen, Jianer",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,"Morphology/Graphical Methods,Geometric-Based",86.png
"Diffusion Rendering of Black Ink Paintings Using New Paper and Ink Models,",2001,https://www.sciencedirect.com/science/article/pii/S0097849300001321?casa_token=02XktWBzKjIAAAAA:tmWXJr0EpkXoI4S_d_XAL82jx9XhAKSMGApzFzJloa3yAP8DgFxpxEUbXIqHuuUqZt_JK1CFyg,"Lee, Jintae",Bone Method,None,None,Image Generation,None,Image Generation,Handcrafted Features,Diffusion Model,87.png
